"","sid","depth","minProbe","minProbeDate","maxProbe","maxProbeDate","thickness","modLL","modDUL","slgaLL","slgaDUL"
"113","opSID_40108",400,13.9825625,2017-06-04,34.49121875,2020-10-08,100,0.114592064539854,0.256345521576943,0.096929093459838,0.239745440104846
"114","opSID_40108",500,9.1389,2016-10-02,19.2656145833333,2020-10-08,100,0.124363435547146,0.258105662085702,0.0975215850415285,0.238789266032843
"115","opSID_40108",600,6.76306458333333,2016-10-02,14.8938541666667,2020-10-05,100,0.126731782616612,0.25955479300263,0.0971786190706178,0.23714961952175
"116","opSID_40108",700,8.12904255319149,2016-09-23,17.3965989583333,2020-10-05,100,0.125232168072636,0.260499282781039,0.0967186816177933,0.235519414065453
"117","opSID_40108",800,7.3445375,2016-09-24,12.3551239583333,2020-10-05,100,0.125014435795187,0.260657050896122,0.0973341351070189,0.23490807919826
"118","opSID_40108",900,6.795234375,2016-09-24,9.52246875,2020-10-09,100,0.126122228529009,0.260025706834958,0.0990350843045992,0.235324169407748
"119","opSID_40108",1000,11.275309375,2016-09-24,15.6752104166667,2020-10-09,100,0.128555546274102,0.258605250597546,0.101821529210534,0.236767684693918
"120","opSID_40109",100,0.0560552083333333,2018-05-07,31.0807677083333,2018-08-06,100,0.0546050998698757,0.170248717719465,0.0839718975832706,0.226453707634076
"121","opSID_40109",200,11.8300010416667,2016-09-25,35.662575,2017-02-10,100,0.0780987157259168,0.218071944326897,0.0977064989386189,0.234670991370891
"122","opSID_40109",300,18.555734375,2016-09-22,42.5656729166667,2020-02-11,100,0.104826548645531,0.257739444535007,0.109201894011099,0.243765702234514
"123","opSID_40109",400,24.3604895833333,2016-09-22,46.0494697916667,2017-01-19,100,0.127018592360918,0.277411905163789,0.116263903784889,0.250203484694971
"124","opSID_40109",500,28.2551947916667,2017-09-20,48.2044842105263,2017-01-20,100,0.14085381841464,0.291235227670335,0.121072574452348,0.254263038774276
"125","opSID_40109",600,36.4987885416667,2017-09-21,52.2598221052632,2017-01-20,100,0.146299845209601,0.299329292575466,0.123646380981206,0.255946726337021
"126","opSID_40109",700,38.9291197916667,2017-09-27,48.966203125,2017-01-31,100,0.146468344218095,0.303122725752445,0.124644022187602,0.255891338385317
"127","opSID_40109",800,40.1902894736842,2016-09-20,49.25898125,2019-03-05,100,0.145892367708404,0.304696735263557,0.125025084001217,0.255024545761741
"128","opSID_40109",900,51.6661344827586,2016-09-19,61.607415625,2019-03-06,100,0.144610331377717,0.304068958465261,0.124797698506201,0.253354210083605
"129","opSID_40109",1000,56.4100189655172,2016-09-19,68.6827385416667,2019-03-06,100,0.142622235226034,0.301239395357558,0.123961865702553,0.250880331350908
"130","opSID_40112",100,0,2017-05-06,23.5940885416667,2019-06-30,100,0.0841476021105279,0.23952028993539,0.0957967331118313,0.249182267765379
"131","opSID_40112",200,18.0206810526316,2016-09-26,30.071084375,2020-10-08,100,0.116125318610722,0.271817479774066,0.110632955918277,0.259069313721662
"132","opSID_40112",300,17.187153125,2016-09-30,33.9313083333333,2020-10-08,100,0.130677021253995,0.280699380825481,0.12249521352432,0.268380770409481
"133","opSID_40112",400,21.9018010416667,2016-09-30,38.8398791666667,2020-10-15,100,0.130403082639033,0.272086595246745,0.129422449198932,0.274088715430952
